slug,name,source_index,source_text,doi,resolved,verified_title,openalex_id,semantic_scholar_id,citation_count,oa_url,enrichment_source
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),0,"Kraus D, et al. Nicotinamide N-methyltransferase knockdown protects against diet-induced obesity. Nature. 2014;508:258-262 (target validation; genetic, not 5A1MQ).",10.1038/nature13198,high,Nicotinamide N-methyltransferase knockdown protects against diet-induced obesity,W2062481845,121144dabbde7533da704c1f2c199eea0c7a85c0,497,https://www.nature.com/articles/nature13198.pdf,OpenAlex+SemanticScholar
adipotide,Adipotide (FTPP / Prohibitin-TP01),0,"Kolonin MG, Saha PK, Chan L, Pasqualini R, Arap W. Reversal of obesity by targeted ablation of adipose tissue. Nat Med. 2004;10(6):625-632 (PMID 15133506) — the foundational paper.",10.1038/nm1048,high,Reversal of obesity by targeted ablation of adipose tissue,W2092566647,89525a93fc7ff79d48666b12e2ebf568884ea4e1,594,,OpenAlex+SemanticScholar
adipotide,Adipotide (FTPP / Prohibitin-TP01),1,"Barnhart KF, et al. A peptidomimetic targeting white fat causes weight loss and improved insulin resistance in obese monkeys. Sci Transl Med. 2011 (the ~11%/28-day primate result + renal-tubular signal).",10.1126/scitranslmed.3002621,high,A Peptidomimetic Targeting White Fat Causes Weight Loss and Improved Insulin Resistance in Obese Monkeys,W2152342778,,101,,OpenAlex
adipotide,Adipotide (FTPP / Prohibitin-TP01),2,"Rupnick MA, et al. Adipose tissue mass can be regulated through the vasculature. PNAS. 2002 (proof-of-concept).",10.1073/pnas.162349799,high,Adipose tissue mass can be regulated through the vasculature,W1999239339,0e52be43e454738c0be23fcc2e7fbfb1e80ba3ea,832,https://www.ncbi.nlm.nih.gov/pmc/articles/125027,OpenAlex+SemanticScholar
afamelanotide,Afamelanotide (Scenesse / Melanotan-1),3,"Wensink D, et al. Afamelanotide for prevention of phototoxicity in erythropoietic protoporphyria. Expert Rev Clin Pharmacol. 2021 (review).",10.1080/17512433.2021.1879638,high,Afamelanotide for prevention of phototoxicity in erythropoietic protoporphyria,W3123567807,,42,https://www.tandfonline.com/doi/pdf/10.1080/17512433.2021.1879638?needAccess=true,OpenAlex
ahk-cu,AHK-Cu (Copper Tripeptide-3),0,"Pyo HK, Yoo HG, Won CH, et al. The effect of tripeptide-copper complex on human hair growth in vitro. Arch Pharm Res. 2007;30(7):834–839. (PMID 17703734) — the foundational ex-vivo/in-vitro study.",10.1007/bf02978833,high,The effect of tripeptide-copper complex on human hair growth in vitro,W2074218781,,57,,OpenAlex
aicar,AICAR (Acadesine),0,"Narkar VA, et al. AMPK and PPARδ Agonists Are Exercise Mimetics. Cell. 2008;134:405-415 (the ~44% endurance / ""exercise mimetic"" paper; Evans lab, Salk).",10.1016/j.cell.2008.06.051,high,AMPK and PPARδ Agonists Are Exercise Mimetics,W2061075485,733ca062024357543c5043228ab533f80dc887df,1199,http://www.cell.com/article/S0092867408008386/pdf,OpenAlex+SemanticScholar
alpha-arbutin,Alpha Arbutin,0,"Tantanasrigul P, Sripha A, Chongmelaxme B. The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study. J Cosmet Dermatol. 2024;e16562.",10.1111/jocd.16562,high,"The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study",W4404462830,3194ba3e77f9d030d41b592030ba26467f614df9,9,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jocd.16562,OpenAlex+SemanticScholar
alpha-arbutin,Alpha Arbutin,1,"Sugimoto K, Nishimura T, Nomura K, Sugimoto K, Kuriki T. Inhibitory Effects of Alpha-Arbutin on Melanin Synthesis in Cultured Human Melanoma Cells and a Three-Dimensional Human Skin Model. Biol Pharm Bull. 2004;27(4):510-514.",10.1248/bpb.27.510,high,Inhibitory Effects of Alpha-Arbutin on Melanin Synthesis in Cultured Human Melanoma Cells and a Three-Dimensional Human Skin Model,W2103567148,,151,https://www.jstage.jst.go.jp/article/bpb/27/4/27_4_510/_pdf,OpenAlex
alpha-arbutin,Alpha Arbutin,2,Boo YC. Arbutin as a Skin Depigmenting Agent with Antimelanogenic and Antioxidant Properties. Antioxidants (Basel). 2021;10(7):1129.,10.3390/antiox10071129,high,Arbutin as a Skin Depigmenting Agent with Antimelanogenic and Antioxidant Properties,W3179967564,966a958ea89b511824607036c2a35a3af842d027,222,https://www.mdpi.com/2076-3921/10/7/1129/pdf?version=1626423973,OpenAlex+SemanticScholar
amycretin,Amycretin,1,"Dahl K, et al. Amycretin, a novel unimolecular GLP-1 and amylin receptor agonist administered subcutaneously: a Phase 1b/2a study. Lancet. 2025.",10.1016/s0140-6736(25)01185-7,high,"Amycretin, a novel, unimolecular GLP-1 and amylin receptor agonist administered subcutaneously: results from a phase 1b/2a randomised controlled study",W4411475014,4b2fdfd2649a5521f2ec2ff325594f92af387f4a,56,,OpenAlex+SemanticScholar
argireline,Argireline (Acetyl Hexapeptide-8),0,"Blanes-Mira C, et al. A synthetic hexapeptide (Argireline) with antiwrinkle activity. Int J Cosmet Sci. 2002.",10.1046/j.1467-2494.2002.00153.x,high,A synthetic hexapeptide (Argireline) with antiwrinkle activity,W2144640136,527d01fd26466e7473eabc4177a19e0a9cc56503,181,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1467-2494.2002.00153.x,OpenAlex+SemanticScholar
argireline,Argireline (Acetyl Hexapeptide-8),3,"Lim S-H, et al. Enhanced skin permeation of anti-wrinkle peptides via molecular modification. (penetration limits.) PMC5785486.",10.1038/s41598-017-18454-z,high,Enhanced Skin Permeation of Anti-wrinkle Peptides via Molecular Modification,W2799699112,2b5d8861b4d275a18b1e0ff126513e31c376360d,57,https://www.nature.com/articles/s41598-017-18454-z.pdf,OpenAlex+SemanticScholar
argireline,Argireline (Acetyl Hexapeptide-8),4,Public interest in acetyl hexapeptide-8: longitudinal analysis. PMC10915729.,10.2196/54217,high,Public Interest in Acetyl Hexapeptide-8: Longitudinal Analysis,W4391291409,,9,https://doi.org/10.2196/54217,OpenAlex
azelaic-acid,Azelaic Acid,0,"King S, Campbell J, Rowe R, Daly ML, Moncrieff G, Maybury C. A systematic review to evaluate the efficacy of azelaic acid in the management of acne, rosacea, melasma and skin aging. J Cosmet Dermatol. 2023;22(10):2650-2662.",10.1111/jocd.15923,high,"A systematic review to evaluate the efficacy of azelaic acid in the management of acne, rosacea, melasma and skin aging",W4385662033,0d33c7745b7fe441655bb9b5744bdca700bb8105,34,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jocd.15923,OpenAlex+SemanticScholar
azelaic-acid,Azelaic Acid,1,"Albzea W, AlRashidi R, Alkandari D, et al. Azelaic Acid Versus Hydroquinone for Managing Patients With Melasma: Systematic Review and Meta-Analysis of Randomized Controlled Trials. Cureus. 2023;15(7):e41796.",10.7759/cureus.41796,high,Azelaic Acid Versus Hydroquinone for Managing Patients With Melasma: Systematic Review and Meta-Analysis of Randomized Controlled Trials,W4384133475,,13,https://assets.cureus.com/uploads/review_article/pdf/167988/20230713-5700-1po6zzv.pdf,OpenAlex
azelaic-acid,Azelaic Acid,2,"McKesey J, Tovar-Garza A, Pandya AG. Melasma Treatment: An Evidence-Based Review. Am J Clin Dermatol. 2020;21(2):173-225.",10.1007/s40257-019-00488-w,high,Melasma Treatment: An Evidence-Based Review,W2994476652,,245,,OpenAlex
bakuchiol,Bakuchiol,0,"Chaudhuri RK, Bojanowski K. Bakuchiol: a retinol-like functional compound revealed by gene expression profiling and clinically proven to have anti- aging effects. Int J Cosmet Sci. 2014; 36(3):221-30. doi:10.1111/ics.12117. [Sytheon Ltd — declared conflict of interest]",10.1111/ics.12117,high,Bakuchiol: a retinol‐like functional compound revealed by gene expression profiling and clinically proven to have anti‐aging effects,W1980403245,bca4f4f84e747640cbc6d6f43c1441aff63b3ffb,160,,OpenAlex+SemanticScholar
bakuchiol,Bakuchiol,1,"Dhaliwal S, Rybak I, Ellis SR, et al. Prospective, randomized, double- blind assessment of topical bakuchiol and retinol for facial photoageing. Br J Dermatol. 2019; 180(2):289-296. doi:10.1111/bjd.16918. [Independent — University of California / Michigan / Florida / Pennsylvania]",10.1111/bjd.16918,high,"Prospective, randomized, double‐blind assessment of topical bakuchiol and retinol for facial photoageing",W2811117926,7fd0a4e50aa6490c026594d8f75556e124f2343b,135,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjd.16918,OpenAlex+SemanticScholar
bakuchiol,Bakuchiol,2,"Draelos ZD, Gunt H, Zeichner J, Levy S. Clinical evaluation of a nature- based bakuchiol anti-aging moisturizer for sensitive skin. J Drugs Dermatol. 2020; 19(12):1181.",10.36849/jdd.2020.5522,high,Clinical Evaluation of a Nature-Based Bakuchiol Anti-Aging Moisturizer for Sensitive Skin,W3116538102,efc20d2586c8b166d88027182bac7f3166e0e971,48,https://jddonline.com/articles/dermatology/S1545961620P1181X&download=1,OpenAlex+SemanticScholar
bakuchiol,Bakuchiol,3,"Goldberg DJ, Robinson DM, Granger C. Clinical evidence of the efficacy and safety of a new 3-in-1 anti-aging topical night serum-in-oil containing melatonin, bakuchiol, and ascorbyl tetraisopalmitate. J Cosmet Dermatol. 2020.",10.1111/jocd.12896,high,"Clinical evidence of the efficacy and safety of a new 3‐in‐1 anti‐aging topical night serum‐in‐oil containing melatonin, bakuchiol, and ascorbyl tetraisopalmitate: 103 females treated from 28 to 84 days",W2933177976,ac45bd7a9c8283bf56b7f15b046d2b79dcff7212,38,,OpenAlex+SemanticScholar
bakuchiol,Bakuchiol,6,"Chaudhuri RK. Chapter — Bakuchiol: A Retinol-Like Functional Compound, Modulating Multiple Retinol and Non-Retinol Targets. In: Cosmeceuticals and Active Cosmetics. 2015. [Sytheon — mechanistic review]",10.1201/b18895-2,high,"Bakuchiol: A Retinol-Like Functional Compound, Modulating Multiple Retinol and Non-Retinol Targets",W4235233482,,10,,OpenAlex
bimagrumab,Bimagrumab (BYM338),0,"Heymsfield SB, et al. Effect of bimagrumab vs placebo on body fat mass among adults with type-2 diabetes and obesity: a Phase 2 randomized clinical trial. JAMA Netw Open. 2021.",10.1001/jamanetworkopen.2020.33457,high,Effect of Bimagrumab vs Placebo on Body Fat Mass Among Adults With Type 2 Diabetes and Obesity,W3120336759,a36f102fdf5c40f6b42232babeee67ef4fc63eec,310,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2774903/heymsfield_2021_oi_201022_1614013899.24733.pdf,OpenAlex+SemanticScholar
bimagrumab,Bimagrumab (BYM338),2,"Nunn E, et al. Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism. Mol Metab. 2024.",10.1016/j.molmet.2024.101880,high,Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism,W4390755114,,109,https://doi.org/10.1016/j.molmet.2024.101880,OpenAlex
bpc-157,BPC-157,1,"Chang C-H, et al. Pentadecapeptide BPC 157 enhances growth-hormone-receptor expression in tendon fibroblasts. 2014.",10.3390/molecules191119066,high,Pentadecapeptide BPC 157 Enhances the Growth Hormone Receptor Expression in Tendon Fibroblasts,W2138025841,9fc0302e115e9056417f9c90e84c59dab8004d19,83,https://www.mdpi.com/1420-3049/19/11/19066/pdf?version=1416390168,OpenAlex+SemanticScholar
bpc-157,BPC-157,2,"Hsieh M-J, et al. Therapeutic potential of pro-angiogenic BPC157 associated with VEGFR2 activation and up-regulation. J Mol Med (Berl). 2017.",10.1007/s00109-016-1488-y,high,Therapeutic potential of pro-angiogenic BPC157 is associated with VEGFR2 activation and up-regulation,W2556959132,,87,,OpenAlex
bpc-157,BPC-157,4,"Vasireddi N, et al. Emerging Use of BPC-157 in Orthopaedic Sports Medicine: a Systematic Review. 2025. — 544 articles screened → 36 included (35 preclinical, 1 clinical).",10.1177/15563316251355551,high,Emerging Use of BPC-157 in Orthopaedic Sports Medicine: A Systematic Review,W4412788185,,12,https://www.ncbi.nlm.nih.gov/pmc/articles/12313605,OpenAlex
ceramides,Ceramides,0,"Elias PM, Wakefield JS. Mechanisms of abnormal lamellar body secretion and the dysfunctional skin barrier in patients with atopic dermatitis. J Allergy Clin Immunol. 2014.",10.1016/j.jaci.2014.05.048,high,Mechanisms of abnormal lamellar body secretion and the dysfunctional skin barrier in patients with atopic dermatitis,W2041515888,,237,http://www.jacionline.org/article/S0091674914008689/pdf,OpenAlex
ceramides,Ceramides,1,"Meckfessel MH, Brandt S. The structure, function, and importance of ceramides in skin and their use as therapeutic agents in skin-care products. J Am Acad Dermatol. 2014; 71(1):177-84.",10.1016/j.jaad.2014.01.891,high,"The structure, function, and importance of ceramides in skin and their use as therapeutic agents in skin-care products",W2149265944,46d8cabceb5ce991e767e3606dbe0664d835f242,184,,OpenAlex+SemanticScholar
ceramides,Ceramides,3,"Spada F, Barnes TM, Greive KA. Skin hydration is significantly increased by a cream formulated to mimic the skin's own natural moisturizing systems. Clin Cosmet Investig Dermatol. 2018.",10.2147/ccid.s177697,high,Skin hydration is significantly increased by a cream formulated to mimic the skin&amp;rsquo;s own natural moisturizing systems,W2897836740,a2cc9c863f24a34964a41010d7ebb18015db1e2f,82,https://www.dovepress.com/getfile.php?fileID=45336,OpenAlex+SemanticScholar
cerebrolysin,Cerebrolysin,0,"Cochrane reviews — Cerebrolysin for vascular dementia (2013; updated 2025) and for acute ischemic stroke (2023, 7 RCTs / 1,773 participants: no mortality benefit; ↑ non-fatal serious AEs RR ~2.39).",10.1002/14651858.cd008900.pub2,high,Cerebrolysin for vascular dementia,W1871009028,,91,https://www.ncbi.nlm.nih.gov/pmc/articles/6844361,OpenAlex
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),0,"Zhu Y, et al. The Achilles' heel of senescent cells: from transcriptome to senolytic drugs. Aging Cell 2015 (D+Q discovery; SCAP hypothesis).",10.1111/acel.12344,high,The Achilles’ heel of senescent cells: from transcriptome to senolytic drugs,W2128807350,b28ac1f15c7c5abd50d4c55a9d475faad778f3dc,2464,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acel.12344,OpenAlex+SemanticScholar
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),1,"Kirkland JL, Tchkonia T. Senolytic drugs: from discovery to translation. J Intern Med 2020 (D, Q, Fisetin, Navitoclax as first senolytics).",10.1111/joim.13141,high,Senolytic drugs: from discovery to translation,W3042236956,,1158,https://doi.org/10.1111/joim.13141,OpenAlex
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),3,"Yousefzadeh MJ, et al. Fisetin is a senotherapeutic that extends health and lifespan. EBioMedicine 2018 (top flavonoid; mouse lifespan).",10.1016/j.ebiom.2018.09.015,high,Fisetin is a senotherapeutic that extends health and lifespan,W2893617001,f19a7256b13f6aa40c0b94915d3267e63b7ea9b6,992,http://www.thelancet.com/article/S2352396418303736/pdf,OpenAlex+SemanticScholar
ectoin,Ectoin,0,"Graf R, et al. The multifunctional role of ectoine as a natural cell protectant. Clin Dermatol. 2008; 26(4):326-33.",10.1016/j.clindermatol.2008.01.002,high,The multifunctional role of ectoine as a natural cell protectant,W2042915927,,291,,OpenAlex
ectoin,Ectoin,1,"Marini A, et al. Ectoine-containing cream in the treatment of mild to moderate atopic dermatitis: a randomised, comparator-controlled, intra-individual double-blind, multi-center trial. Skin Pharmacol Physiol. 2014.",10.1159/000351381,high,"Ectoine-Containing Cream in the Treatment of Mild to Moderate Atopic Dermatitis: A Randomised, Comparator-Controlled, Intra-Individual Double-Blind, Multi-Center Trial",W1978828017,8cebe5f8e0745e1ce90875cc3b9822fb7acb041b,104,,OpenAlex+SemanticScholar
ectoin,Ectoin,3,"Bilstein A, et al. Ectoin in the Treatment of Irritations and Inflammations of the Eye Surface. Biomed Res Int. 2021.",10.1155/2021/8885032,high,Ectoine in the Treatment of Irritations and Inflammations of the Eye Surface,W3127502316,8e7446256935716ce843cefc2c328993e2694747,64,https://downloads.hindawi.com/journals/bmri/2021/8885032.pdf,OpenAlex+SemanticScholar
ectoin,Ectoin,4,"Kauth M, Trusova O. Topical Ectoine Application in Children and Adults to Treat Inflammatory Diseases Associated with an Impaired Skin Barrier: A Systematic Review. Dermatol Ther (Heidelb). 2022.",10.1007/s13555-021-00676-9,high,Topical Ectoine Application in Children and Adults to Treat Inflammatory Diseases Associated with an Impaired Skin Barrier: A Systematic Review,W4206590419,d2bf8c9adced1ee87f6b4ae4095ea81b800a2cb5,42,https://link.springer.com/content/pdf/10.1007/s13555-021-00676-9.pdf,OpenAlex+SemanticScholar
epitalon,Epitalon (Epithalon),0,"Khavinson VKh, Bondarev IE, Butyugov AA. Epithalon peptide induces telomerase activity and telomere elongation in human somatic cells. Bull Exp Biol Med. 2003.",10.1023/a:1025493705728,high,Epithalon Peptide Induces Telomerase Activity and Telomere Elongation in Human Somatic Cells,W1554480048,f59d05e0b63767a5cbb7eb46080c768afdf8144c,24,,OpenAlex+SemanticScholar
epitalon,Epitalon (Epithalon),2,Araj (et al.). Epitalon increases telomere length in human cell lines through telomerase upregulation or ALT activity. Biogerontology. 2025. (independent in-vitro study),10.1007/s10522-025-10315-x,high,Epitalon increases telomere length in human cell lines through telomerase upregulation or ALT activity,W4413977428,61198ff49e2a8028cd84e7a5879423706a0d2f76,2,https://link.springer.com/content/pdf/10.1007/s10522-025-10315-x.pdf,OpenAlex+SemanticScholar
follistatin,Follistatin (FST-344),2,"Kota J, Sumner CJ, et al. Inhibition of myostatin, with emphasis on follistatin as a therapy for muscle disease. (Review; PMC2717722.)",10.1002/mus.21244,high,Inhibition of myostatin with emphasis on follistatin as a therapy for muscle disease,W2108645449,4f988f237aca825c25152955fd8071669efc6b75,190,https://www.ncbi.nlm.nih.gov/pmc/articles/2717722,OpenAlex+SemanticScholar
ghk-cu,GHK-Cu (Copper Tripeptide-1),4,"Pickart L, Margolina A. Regenerative and protective actions of the GHK-Cu peptide (gene-expression review). Int J Mol Sci. 2018 (PMID 29986520).",10.3390/ijms19071987,high,Regenerative and Protective Actions of the GHK-Cu Peptide in the Light of the New Gene Data,W2824378340,b4aacd8adb98385a224b0325cd4b171a27e64011,140,https://www.mdpi.com/1422-0067/19/7/1987/pdf?version=1530961581,OpenAlex+SemanticScholar
ghk-cu,GHK-Cu (Copper Tripeptide-1),5,"Mortazavi SM, et al. Topically applied GHK as an anti-wrinkle peptide: advantages, problems, prospects. BioImpacts. 2024.",10.34172/bi.30071,high,"Topically applied GHK as an anti-wrinkle peptide: Advantages, problems and prospective",W4399973411,893b32dd9ab3a50ba5c149b4ecca9583f266dc4b,5,https://bi.tbzmed.ac.ir/Inpress/bi-30071.pdf,OpenAlex+SemanticScholar
ghrp-6,GHRP-6,2,"Kojima M, Kangawa K, et al. Ghrelin is a growth-hormone-releasing acylated peptide from stomach. Nature. 1999. (the endogenous ligand GHRP-6 pointed to)",10.1038/45230,high,Ghrelin is a growth-hormone-releasing acylated peptide from stomach,W2163865122,1c28044fc60144cc3a95caaf2b4ed9bbb0c6b09d,8473,,OpenAlex+SemanticScholar
glutathione,Glutathione (GSH),0,"Sonthalia S, et al. Glutathione as a skin whitening agent: facts, myths, evidence and controversies. Indian J Dermatol Venereol Leprol. 2016 (mechanism, evidence, Philippine FDA warning).",10.4103/0378-6323.179088,high,"Glutathione as a skin whitening agent: Facts, myths, evidence and controversies",W2325451653,00937639157dac4610db6475280785267f31f7bb,119,https://ijdvl.com/view-pdf/?&article=3a8f6da43d188f4524bbfd7649daa125cE1PMa4YOXw=,OpenAlex+SemanticScholar
glutathione,Glutathione (GSH),1,"Glutathione for skin lightening: a regnant myth or evidence-based verity? (PMC5808366) — oral GRAS status, low bioavailability, IV controversy.",10.5826/dpc.0801a04,high,Glutathione for skin lightening: a regnant myth or evidence-based verity?,W2791717670,70901159acb00082129d414f57b49fe9ee9e6939,35,https://www.derm101.com/wp-content/uploads/dp0801a04.pdf,OpenAlex+SemanticScholar
hexarelin,Hexarelin (Examorelin),0,"Bodart V, Ong H, et al. CD36 mediates the cardiovascular action of growth-hormone-releasing peptides in the heart. Circ Res. 2002. (CD36 identification)",10.1161/01.res.0000016164.02525.b4,high,CD36 Mediates the Cardiovascular Action of Growth Hormone-Releasing Peptides in the Heart,W2149074941,254b3f450938e74bfe4e9076778752b76c252264,171,,OpenAlex+SemanticScholar
humanin,Humanin (HN / HNG / S14G-Humanin),0,"Hashimoto Y, et al. A rescue factor abolishing neuronal cell death by a wide spectrum of familial Alzheimer's disease genes and Aβ. PNAS. 2001 (original discovery).",10.1073/pnas.101133498,high,A rescue factor abolishing neuronal cell death by a wide spectrum of familial Alzheimer's disease genes and Aβ,W2104592988,f09ae5c7add125739af1f0f786a154034fe73d09,620,https://www.ncbi.nlm.nih.gov/pmc/articles/33469,OpenAlex+SemanticScholar
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),2,"Nobile V, et al. Oral intake and topical application of hyaluronic acid ameliorates skin aging signs: efficacy results of a placebo-controlled in&out trial. Cosmetics. 2025; 12:52.",10.3390/cosmetics12020052,high,Oral Intake and Topical Application of Hyaluronic Acid Ameliorates Skin Aging Signs: Efficacy Results of a Placebo-Controlled In&amp;Out Trial,W4408505203,82287c1434a738757acf9084a51eacbaaf95cb3c,3,https://www.mdpi.com/2079-9284/12/2/52/pdf?version=1742215312,OpenAlex+SemanticScholar
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),3,"Oral sodium hyaluronate improves skin hydration, barrier function and signs of aging: a randomized, double-blind, placebo-controlled trial in 150 healthy adults. Sci Rep. 2025.",10.1038/s41598-025-32758-5,high,"Oral sodium hyaluronate improves skin hydration, barrier function and signs of aging: a randomized, double-blind, placebo-controlled trial in 150 healthy adults",W4417526042,ff8012617aedaf1f3233c3fb8ccf9e4595bdb6ae,4,https://www.nature.com/articles/s41598-025-32758-5_reference.pdf,OpenAlex+SemanticScholar
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),5,"Zhang R, Yaqoubi M, et al. The Effect of Local Hyaluronic Acid Injection on Skin Aging: A Systematic Review and Meta-Analysis. J Cosmet Dermatol. 2024; PMC11731322.",10.1111/jocd.16760,high,The Effect of Local Hyaluronic Acid Injection on Skin Aging: A Systematic Review and Meta‐Analysis,W4406371041,,21,https://doi.org/10.1111/jocd.16760,OpenAlex
ipamorelin,Ipamorelin,0,"Raun K, et al. Ipamorelin, the first selective growth hormone secretagogue. Eur J Endocrinol. 1998. (PMID 9849822)",10.1530/eje.0.1390552,high,"Ipamorelin, the first selective growth hormone secretagogue",W2116202929,67208f356c5d77afd1359cf90a9fdb88bfe7e794,96,,OpenAlex+SemanticScholar
ipamorelin,Ipamorelin,2,"Ishida J, et al. Growth hormone secretagogues: history, mechanism of action, and clinical development. JCSM Rapid Commun. 2020.",10.1002/rco2.9,high,"Growth hormone secretagogues: history, mechanism of action, and clinical development",W2964709768,4deff6f203a71e716177afb6d035e4d0d8a2b35e,27,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rco2.9,OpenAlex+SemanticScholar
kojic-acid,Kojic Acid,0,"Deo KS, Dash KN, Sharma YK, Virmani NC, Oberai C. Kojic Acid vis-a-vis its Combinations with Hydroquinone and Betamethasone Valerate in Melasma: A Randomized, Single Blind, Comparative Study of Efficacy and Safety. Indian J Dermatol. 2013;58(4):281-285.",10.4103/0019-5154.113940,high,"Kojic Acid vis-a-vis its Combinations with Hydroquinone and Betamethasone Valerate in Melasma: A Randomized, Single Blind, Comparative Study of Efficacy and Safety",W2080142628,13c034a4d578e8334527f8ddef00bdc5a261b8e4,68,https://doi.org/10.4103/0019-5154.113940,OpenAlex+SemanticScholar
kojic-acid,Kojic Acid,2,"Saeedi M, Eslamifar M, Khezri K, et al. Review on the Use of Kojic Acid — A Skin-Lightening Ingredient. Cosmetics. 2022;9(3):64.",10.3390/cosmetics9030064,high,Review on the Use of Kojic Acid—A Skin-Lightening Ingredient,W4282983733,25b5f7b1e196012e766e5ffd0bf4a07e0bdba393,114,https://www.mdpi.com/2079-9284/9/3/64/pdf?version=1655288874,OpenAlex+SemanticScholar
kojic-acid,Kojic Acid,3,"Nakagawa M, Kawai K, Kawai K. Contact allergy to kojic acid in skin care products. Contact Dermatitis. 1995;32(1):9-13.",10.1111/j.1600-0536.1995.tb00832.x,high,Contact allergy to kojic acid in skin care products,W2047944792,45bf395726586742b81cbc4801697aa0f4f7a586,185,,OpenAlex+SemanticScholar
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",0,"Slifer ZM, Krishnan BR, Madan J, Blikslager AT. Larazotide acetate: a pharmacological peptide approach to tight junction regulation. Am J Physiol Gastrointest Liver Physiol. 2021 (mechanism; zonulin/MLCK).",10.1152/ajpgi.00386.2020,high,Larazotide acetate: a pharmacological peptide approach to tight junction regulation,W3153467516,,44,https://www.ncbi.nlm.nih.gov/pmc/articles/11735010,OpenAlex
