slug,name,source_index,source_text,doi,resolved,verified_title,openalex_id,semantic_scholar_id,citation_count,oa_url,enrichment_source
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",3,"Fasano A, et al. Zonulin, a newly discovered modulator of intestinal permeability, and its expression in coeliac disease. Lancet. 2000 (the zonulin concept). Porcine ischemia tight-junction repair (2021). (No FDA approval as of 2026; celiac program halted.)",10.1016/s0140-6736(00)02169-3,high,"Zonulin, a newly discovered modulator of intestinal permeability, and its expression in coeliac disease",W2112724457,07ccfd42c56b098f5917354f68794d6c11d31cbd,674,,OpenAlex+SemanticScholar
ll-37,LL-37 (Cathelicidin),1,"Lande R, et al. Cationic antimicrobial peptides in psoriatic skin cooperate to break innate tolerance to self-DNA. (LL-37 + self-DNA → TLR9/pDC); LL-37 as psoriasis T-cell autoantigen.",10.1002/eji.201344277,high,Cationic antimicrobial peptides in psoriatic skin cooperate to break innate tolerance to self‐DNA,W1527143867,,150,,OpenAlex
matrixyl,Matrixyl (Palmitoyl Pentapeptide-4),0,"Robinson LR, Fitzgerald NC, Doughty DG, et al. Topical palmitoyl pentapeptide provides improvement in photoaged human facial skin. Int J Cosmet Sci. 2005. (anchor RCT, n=93)",10.1111/j.1467-2494.2005.00261.x,high,Topical palmitoyl pentapeptide provides improvement in photoaged human facial skin<sup>1</sup>,W2028947341,ee234bc3ab3482b7aaa2219f9c01044ec471e5b1,204,,OpenAlex+SemanticScholar
matrixyl,Matrixyl (Palmitoyl Pentapeptide-4),1,"Lintner K, Peschard O. Biologically active peptides: from a laboratory bench curiosity to a functional skin care product. Int J Cosmet Sci. 2000. (Sederma origin)",10.1046/j.1467-2494.2000.00010.x,high,Biologically active peptides: from a laboratory bench curiosity to a functional skin care product,W2106447897,fb8b3a1dfa33738485b6f119d8fd18b00cd17361,104,,OpenAlex+SemanticScholar
melanotan-ii,Melanotan II,2,Hadley ME. Discovery that a melanocortin regulates sexual functions in male and female humans. Peptides. 2005.,10.1016/j.peptides.2005.01.023,high,Discovery that a melanocortin regulates sexual functions in male and female humans,W1974900862,,78,,OpenAlex
mots-c,MOTS-c,0,"Lee C, Zeng J, Drew BG, … Cohen P. The mitochondrial-derived peptide MOTS-c promotes metabolic homeostasis and reduces obesity and insulin resistance. Cell Metab. 2015. (discovery paper)",10.1016/j.cmet.2015.02.009,high,The Mitochondrial-Derived Peptide MOTS-c Promotes Metabolic Homeostasis and Reduces Obesity and Insulin Resistance,W2160343816,b2d7b09f56b0ae74a9aafa979412b10057070697,727,http://www.cell.com/article/S1550413115000613/pdf,OpenAlex+SemanticScholar
naringenin,Naringenin,0,"Martinez RM, et al. Topical Formulation Containing Naringenin: Efficacy against Ultraviolet B Irradiation-Induced Skin Inflammation and Oxidative Stress in Mice. PLOS ONE. 2016.",10.1371/journal.pone.0146296,high,Topical Formulation Containing Naringenin: Efficacy against Ultraviolet B Irradiation-Induced Skin Inflammation and Oxidative Stress in Mice,W2226523317,4a7481e0b1b696a75766729f582de8bf63566533,93,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0146296&type=printable,OpenAlex+SemanticScholar
naringenin,Naringenin,2,"Kim HK, et al. Inhibitory effect of naringenin on LPS-induced skin senescence by SIRT1 regulation in HDFs. Biomedical Dermatology. 2018.",10.1186/s41702-018-0035-6,high,Inhibitory effect of naringenin on LPS-induced skin senescence by SIRT1 regulation in HDFs,W2899064164,,17,https://biomeddermatol.biomedcentral.com/track/pdf/10.1186/s41702-018-0035-6,OpenAlex
naringenin,Naringenin,3,"Martinez RM, et al. Protective Effects of Naringenin against UVB Irradiation and Air Pollution-Induced Skin Aging and Pigmentation. Cosmetics MDPI. 2023; 10(3):88.",10.3390/cosmetics10030088,high,Protective Effects of Naringenin against UVB Irradiation and Air Pollution-Induced Skin Aging and Pigmentation,W4380047850,6ae4e9a59a79a0b0957db18a037400b93fd95ba8,8,https://www.mdpi.com/2079-9284/10/3/88/pdf?version=1686140045,OpenAlex+SemanticScholar
niacinamide,Niacinamide (Vitamin B3),0,"Hakozaki T, et al. The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer. Br J Dermatol. 2002; 147(1):20-31.",10.1046/j.1365-2133.2002.04834.x,high,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer,W2095289520,43979f5f0feed68a21cba620c7a8e23573ba330d,469,,OpenAlex+SemanticScholar
niacinamide,Niacinamide (Vitamin B3),1,"Bissett DL, et al. Topical niacinamide reduces yellowing, wrinkling, red blotchiness, and hyperpigmented spots in aging facial skin. Int J Cosmet Sci. 2004; 26(5):231-8.",10.1111/j.1467-2494.2004.00228.x,high,"Topical niacinamide reduces yellowing, wrinkling, red blotchiness, and hyperpigmented spots in aging facial skin<sup>1</sup>",W2164721645,,188,,OpenAlex
niacinamide,Niacinamide (Vitamin B3),3,"Marques C, et al. Mechanistic Basis and Clinical Evidence for the Applications of Nicotinamide (Niacinamide) to Control Skin Aging and Pigmentation. Antioxidants (Basel). 2021; PMC8389214.",10.3390/antiox10081315,high,Mechanistic Basis and Clinical Evidence for the Applications of Nicotinamide (Niacinamide) to Control Skin Aging and Pigmentation,W3195935676,,188,https://www.mdpi.com/2076-3921/10/8/1315/pdf?version=1629781609,OpenAlex
niacinamide,Niacinamide (Vitamin B3),5,Topical Niacinamide in Daily Skincare: A 3-Week Real-World Cosmetic Study. Appl Sci. 2025; 15(17):9729.,10.3390/app15179729,high,Topical Niacinamide in Daily Skincare: A 3-Week Real-World Cosmetic Study,W4414020920,0c77b94259481dbb2315b43ec0dab85c24d863b1,3,https://www.mdpi.com/2076-3417/15/17/9729/pdf?version=1756984010,OpenAlex+SemanticScholar
noopept,Noopept (Omberacetam),1,"Ostrovskaya RU, et al. Noopept stimulates NGF and BDNF expression in rat hippocampus. Bull Exp Biol Med. 2008; (neuroprotection in an AD cellular model — apoptosis/tau). J Biomed Sci. 2014.",10.1007/s10517-008-0297-x,high,Noopept stimulates the expression of NGF and BDNF in rat hippocampus,W2007942558,,25,,OpenAlex
pramlintide,Pramlintide (Symlin),1,"Cooper GJS, et al. Purification and characterization of a peptide from amyloid-rich pancreas of type-2 diabetics (amylin). PNAS. 1987 (discovery).",10.1073/pnas.84.23.8628,high,Purification and characterization of a peptide from amyloid-rich pancreases of type 2 diabetic patients.,W2067820229,,1301,https://www.ncbi.nlm.nih.gov/pmc/articles/299599,OpenAlex
pramlintide,Pramlintide (Symlin),4,"Long-acting amylin-related peptides for obesity and T2D. (2026 review) — pramlintide as the first AMYR agonist, second-generation successors.",10.1016/j.peptides.2026.171480,high,Long-acting amylin-related peptides as therapies for obesity and type 2 diabetes,W7131280588,,3,https://doi.org/10.1016/j.peptides.2026.171480,OpenAlex
pt-141,PT-141 (Bremelanotide),0,Hadley ME. Discovery that a melanocortin regulates sexual functions in male and female humans. Peptides. 2005.,10.1016/j.peptides.2005.01.023,high,Discovery that a melanocortin regulates sexual functions in male and female humans,W1974900862,,78,,OpenAlex
rapamycin,Rapamycin (Sirolimus),0,"Harrison DE, et al. Rapamycin fed late in life extends lifespan in genetically heterogeneous mice. Nature 2009 (NIA ITP; 3-lab replication; late-life start; the field-defining result).",10.1038/nature08221,high,Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,W2048376025,,3779,https://www.ncbi.nlm.nih.gov/pmc/articles/2786175,OpenAlex
rapamycin,Rapamycin (Sirolimus),3,"Roark KM, Iffland PH. Rapamycin for longevity: pros, cons, future perspectives. Front Aging 2025; PEARL RCT (weekly dosing safety; longevity endpoints not met). (Approved immunosuppressant; longevity use off-label and unproven in humans as of 2026.)",10.3389/fragi.2025.1628187,high,"Rapamycin for longevity: the pros, the cons, and future perspectives",W4411500878,0bdc405520609355c5d43046a459abd235f8278e,25,https://www.frontiersin.org/journals/aging/articles/10.3389/fragi.2025.1628187/pdf,OpenAlex+SemanticScholar
retinol,Retinol (Vitamin A),0,"Kligman AM, Grove GL, Hirose R, Leyden JJ. Topical tretinoin for photoaged skin. J Am Acad Dermatol. 1986; 15(4 Pt 2):836-59.",10.1016/s0190-9622(86)70242-9,high,Topical tretinoin for photoaged skin,W2072152713,e50080acdb586e1b3e76d0486b0b6732ed0ff70e,633,,OpenAlex+SemanticScholar
retinol,Retinol (Vitamin A),3,"Kikuchi K, Suetake T, Kumasaka N, Tagami H. Improvement of photoaged facial skin in middle-aged Japanese females by topical retinol (vitamin A alcohol): a vehicle-controlled, double-blind study. J Dermatolog Treat. 2009; 20(5):276-81.",10.1080/09546630902973987,high,"Improvement of photoaged facial skin in middle-aged Japanese females by topical retinol (vitamin A alcohol): A vehicle-controlled, double-blind study",W2002964676,,26,,OpenAlex
retinol,Retinol (Vitamin A),4,"Draelos ZD, et al. A Double-Blind, Comparative Clinical Study of Newly Formulated Retinol Serums vs Tretinoin Cream in Escalating Doses. J Drugs Dermatol. 2020; 19(6):625-31. doi:10.36849/JDD.2020.5085.",10.36849/jdd.2020.5085,high,"A Double-Blind, Comparative Clinical Study of Newly Formulated Retinol Serums vs Tretinoin Cream in Escalating Doses: A Method for Rapid Retinization With Minimized Irritation",W4249255329,babf6f89fd69a3c99adafcee5e25cb6fee7b112b,12,,OpenAlex+SemanticScholar
retinol,Retinol (Vitamin A),5,"Zasada M, Budzisz E, Erkiert-Polguj A. A Clinical Anti-Ageing Comparative Study of 0.3 and 0.5% Retinol Serums. Skin Pharmacol Physiol. 2020; 33(2):102-116.",10.1159/000508168,high,A Clinical Anti-Ageing Comparative Study of 0.3 and 0.5% Retinol Serums: A Clinically Controlled Trial,W3026368686,f4e03b5ee14d69b9c595174b88f65b927eb38851,19,,OpenAlex+SemanticScholar
retinol,Retinol (Vitamin A),6,"Motamedi M, Chehade A, Sanghera R, Grewal P. A Clinician's Guide to Topical Retinoids. J Cutan Med Surg. 2022; 26(1):71-78. doi:10.1177/12034754211035091.",10.1177/12034754211035091,high,A Clinician’s Guide to Topical Retinoids,W3183646587,,68,https://doi.org/10.1177/12034754211035091,OpenAlex
retinol,Retinol (Vitamin A),7,"Siddiqui MA, Ali Z, Bilal M, et al. Comparative efficacy of topical interventions for facial photoaging: a network meta-analysis. Sci Rep. 2025 (23 RCTs, n=3,905).",10.1038/s41598-025-12597-0,high,Comparative efficacy of topical interventions for facial photoaging: a network meta-analysis,W4412643973,19a06bc662bd29f11c0e1b8bf698facd0b7e458b,4,https://www.nature.com/articles/s41598-025-12597-0.pdf,OpenAlex+SemanticScholar
retinol,Retinol (Vitamin A),8,"Xie Y, et al. Tretinoin for Photodamaged Facial Skin: Systematic Review and Meta-Analysis of Randomized Controlled Trials. Dermatol Pract Concept. 2025 (8 RCTs, n=1,361; comparator context for retinol).",10.5826/dpc.1504a5172,high,Tretinoin for Photodamaged Facial Skin: Systematic Review and Meta-Analysis of Randomized Controlled Trials,W4415737816,,3,https://dpcj.org/index.php/dpc/article/download/5172/3278,OpenAlex
retinol,Retinol (Vitamin A),9,"Scientific Committee on Consumer Safety (SCCS). Opinion on the safety of Vitamin A (retinol, retinyl acetate, retinyl palmitate) in cosmetic products. SCCS/1639/21. European Commission.",10.1016/j.yrtph.2016.11.017,high,"Opinion of the Scientific Committee on Consumer Safety (SCCS) – Final version of the Opinion on Vitamin A (retinol, retinyl acetate and retinyl palmitate) in cosmetic products",W2552021141,d345d4a032a383efd39ca58df62594a4d633ea3a,33,,OpenAlex+SemanticScholar
slu-pp-332,"SLU-PP-332 (ERR agonist / ""exercise mimetic"")",0,"Billon C, et al. Synthetic ERRα/β/γ agonist induces an ERRα-dependent acute aerobic exercise response and enhances exercise capacity. ACS Chem Biol. (the discovery/mechanism).",10.1021/acschembio.2c00720,high,Synthetic ERRα/β/γ Agonist Induces an ERRα-Dependent Acute Aerobic Exercise Response and Enhances Exercise Capacity,W4361282845,,43,https://pmc.ncbi.nlm.nih.gov/articles/PMC11584170/pdf/nihms-2031709.pdf,OpenAlex
slu-pp-915,SLU-PP-915,0,"Billon C, Appourchaux K, Côté I, Burris TP. An orally active estrogen receptor–related receptor agonist, SLU-PP-915, enhances aerobic exercise capacity. J Pharmacol Exp Ther. 2026;393(1):103787 (the defining paper: oral activity, distinct scaffold, comparable efficacy at lower dose, Ddit4).",10.1016/j.jpet.2025.103787,high,"An orally active estrogen receptor–related receptor agonist, SLU-PP-915, enhances aerobic exercise capacity",W4416867224,12dc3f6453c3572c8b3f3b8d54293a1a1d9f3a97,1,,OpenAlex+SemanticScholar
slu-pp-915,SLU-PP-915,1,"Billon C, et al. A synthetic ERR agonist alleviates metabolic syndrome. J Pharmacol Exp Ther. 2024 (class metabolic effects).",10.1124/jpet.123.001733,high,A Synthetic ERR Agonist Alleviates Metabolic Syndrome,W4386948577,e190ee19834c1d06616f0d5a1d8f8d12e7e55f8c,30,https://jpet.aspetjournals.org/content/jpet/early/2023/09/22/jpet.123.001733.full.pdf,OpenAlex+SemanticScholar
squalane,Squalane,0,"Kim SK, Karadeniz F. Biological importance and applications of squalene and squalane. Adv Food Nutr Res. 2012; 65:223-33.",10.1016/b978-0-12-416003-3.00014-7,high,Biological Importance and Applications of Squalene and Squalane,W177133533,57f7a4675f28f87da0eff41dc108337585e3b9bc,331,,OpenAlex+SemanticScholar
squalane,Squalane,1,"Sethi A, Kaur T, Malhotra SK, Gambhir ML. Moisturizers: The Slippery Road. Indian J Dermatol. 2016; 61(3):279-87.",10.4103/0019-5154.182427,high,Moisturizers: The slippery road,W2386662888,,139,https://doi.org/10.4103/0019-5154.182427,OpenAlex
squalane,Squalane,2,Pappas A. Epidermal surface lipids. Dermatoendocrinol. 2009; 1(2):72-76 (sebum squalene context).,10.4161/derm.1.2.7811,high,Epidermal surface lipids,W2128085440,2caad57f2d50fbed9a3ce36593eeb4a0e744e0bd,327,https://www.tandfonline.com/doi/pdf/10.4161/derm.1.2.7811?needAccess=true,OpenAlex+SemanticScholar
squalane,Squalane,3,"Huang ZR, Lin YK, Fang JY. Biological and pharmacological activities of squalene and related compounds: potential uses in cosmetic dermatology. Molecules. 2009; 14(1):540-54.",10.3390/molecules14010540,high,Biological and Pharmacological Activities of Squalene and Related Compounds: Potential Uses in Cosmetic Dermatology,W2112323509,,489,https://www.mdpi.com/1420-3049/14/1/540/pdf?version=1403112539,OpenAlex
ss-31,SS-31 (Elamipretide),3,"Siegel MP, et al. Mitochondrial-targeted peptide rapidly improves mitochondrial energetics and skeletal-muscle performance in aged mice. Aging Cell. 2013; Campbell MD, et al. Free Radic Biol Med. 2019.",10.1111/acel.12102,high,Mitochondrial-targeted peptide rapidly improves mitochondrial energetics and skeletal muscle performance in aged mice,W2132098985,a64fdb3df1fb2e5c6e2e720532a1957d5a27f4a7,190,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acel.12102,OpenAlex+SemanticScholar
ss-31,SS-31 (Elamipretide),4,Elamipretide mechanistic review — first cardiolipin-directed mitochondrial therapeutic approved under accelerated approval. Drug Discov Ther. 2026.,10.5582/ddt.2025.01111,high,Elamipretide: The first cardiolipin-directed mitochondrial therapeutic for Barth syndrome approved under accelerated approval,W4416373759,9f8c09734022c716148d8a426b6f64622da644a4,2,https://www.jstage.jst.go.jp/article/ddt/advpub/0/advpub_2025.01111/_pdf,OpenAlex+SemanticScholar
survodutide,Survodutide (BI 456906),2,"Sanyal AJ, et al. A Phase 2 randomized trial of survodutide in MASH and fibrosis. N Engl J Med. 2024;391:311–319.",10.1056/nejmoa2401755,high,A Phase 2 Randomized Trial of Survodutide in MASH and Fibrosis,W4399439504,,436,,OpenAlex
syn-ake,Syn-Ake (Dipeptide Diaminobutyroyl Benzylamide Diacetate),0,"McArdle JJ, Lentz TL, Witzemann V, et al. Waglerin-1 selectively blocks the epsilon form of the muscle nicotinic acetylcholine receptor. J Pharmacol Exp Ther. 1999 (the toxin pharmacology behind it).",10.1016/s0022-3565(24)38167-4,high,Waglerin-1 Selectively Blocks the Epsilon Form of the Muscle Nicotinic Acetylcholine Receptor,W2113915885,,70,,OpenAlex
syn-ake,Syn-Ake (Dipeptide Diaminobutyroyl Benzylamide Diacetate),2,"Debono J, et al. Viper venom botox: the molecular origin and evolution of the waglerin peptides used in anti-wrinkle skin cream. J Mol Evol (biomimetic origin).",10.1007/s00239-016-9764-6,high,Viper Venom Botox: The Molecular Origin and Evolution of the Waglerin Peptides Used in Anti-Wrinkle Skin Cream,W2555020128,,25,,OpenAlex
tb-500,TB-500 (Thymosin Beta-4 fragment),0,"Goldstein AL, Hannappel E, Kleinman HK. Thymosin β4: actin-sequestering protein moonlights to repair injured tissues. (Tβ4 biology review.)",10.1016/j.molmed.2005.07.004,high,Thymosin β: actin-sequestering protein moonlights to repair injured tissues,W2078624058,,250,,OpenAlex
tb-500,TB-500 (Thymosin Beta-4 fragment),3,Thymosin Beta-4 and TB-500 in tissue healing and musculoskeletal repair: a scoping review. Appl Sci. 2026.,10.20944/preprints202605.1124.v1,high,"Thymosin Beta-4 and TB-500 in Tissue Healing, Regeneration, and Musculoskeletal Repair: A Scoping Review",W7161588064,,0,https://doi.org/10.20944/preprints202605.1124.v1,OpenAlex
tesofensine,Tesofensine,0,"Astrup A, et al. Effect of tesofensine on bodyweight loss, body composition, and quality of life in obese patients: a randomised, double-blind, placebo-controlled trial. Lancet 2008;372:1906-1913 (Phase 2; ~2× era's drugs; HR +~7 bpm).",10.1016/s0140-6736(08)61525-1,high,"Effect of tesofensine on bodyweight loss, body composition, and quality of life in obese patients: a randomised, double-blind, placebo-controlled trial",W2147992450,abaad05d5a34557dc5579561f0d820f9e7f665ea,194,,OpenAlex+SemanticScholar
tesofensine,Tesofensine,2,"Sjödin A, et al. The effect of the triple monoamine reuptake inhibitor tesofensine on energy metabolism and appetite… Int J Obes 2010 (↑energy expenditure + ↓appetite; mechanism ""unresolved"").",10.1038/ijo.2010.87,high,The effect of the triple monoamine reuptake inhibitor tesofensine on energy metabolism and appetite in overweight and moderately obese men,W2067530057,ccb281873fba5c2a16c7ae03e9fadf0c49dd169a,48,,OpenAlex+SemanticScholar
thymalin,Thymalin,0,"Morozov VG, Khavinson VKh — original Thymalin development (1981-1982); Natural and synthetic thymic peptides as therapeutics for immune dysfunction (Int J Immunopharmacol, 1998).",10.1016/s0192-0561(97)00058-1,high,Natural and synthetic thymic peptides as therapeutics for immune dysfunction,W1989135119,,59,,OpenAlex
thymalin,Thymalin,2,"The Use of Thymalin for Immunocorrection and Molecular Aspects of Biological Activity (Biol Bull Rev, 2021) — KE/EW/EDP short peptides, gene-expression mechanism.",10.1134/s2079086421040046,high,The Use of Thymalin for Immunocorrection and Molecular Aspects of Biological Activity,W3193418921,de70933308b1d255e5c609a2648282ce5ac1dbfb,1,https://link.springer.com/content/pdf/10.1134/S2079086421040046.pdf,OpenAlex+SemanticScholar
thymalin,Thymalin,3,Peptide Drug Thymalin Regulates Immune Status in Severe COVID-19 Older Patients (2021).,10.1134/s2079057021040068,high,Peptide Drug Thymalin Regulates Immune Status in Severe COVID-19 Older Patients,W4200305189,760f044ecb19c74c4b6906ec499121fecd6591fa,2,https://link.springer.com/content/pdf/10.1134/S2079057021040068.pdf,OpenAlex+SemanticScholar
tranexamic-acid,Tranexamic Acid,0,"Zhang L, Tan W-Q, Fang Q-Q, et al. Tranexamic Acid for Adults with Melasma: A Systematic Review and Meta-Analysis. BioMed Research International. 2018;2018:1683414.",10.1155/2018/1683414,high,Tranexamic Acid for Adults with Melasma: A Systematic Review and Meta-Analysis,W2900333555,bbcebe3805ab605ff201ae5d2bcb2bdcd8fae273,73,https://downloads.hindawi.com/journals/bmri/2018/1683414.pdf,OpenAlex+SemanticScholar
tranexamic-acid,Tranexamic Acid,1,"Kim SJ, Park JY, Shibata T, Fujiwara R, Kang HY. Efficacy and possible mechanisms of topical tranexamic acid in melasma. Clin Exp Dermatol. 2016;41:480-485.",10.1111/ced.12835,high,Efficacy and possible mechanisms of topical tranexamic acid in melasma,W2346719544,,129,,OpenAlex
tranexamic-acid,Tranexamic Acid,2,Maeda K. Mechanism of Action of Topical Tranexamic Acid in the Treatment of Melasma and Sun-Induced Skin Hyperpigmentation. Cosmetics. 2022;9:108.,10.3390/cosmetics9050108,high,Mechanism of Action of Topical Tranexamic Acid in the Treatment of Melasma and Sun-Induced Skin Hyperpigmentation,W4306836265,69f467239778f2d023a96583fd24e52a25e41e81,33,https://www.mdpi.com/2079-9284/9/5/108/pdf?version=1666176234,OpenAlex+SemanticScholar
tranexamic-acid,Tranexamic Acid,3,"Forbat E, Al-Niaimi F, Ali FR. The emerging importance of tranexamic acid in dermatology. Clin Exp Dermatol. 2019;45:445-449.",10.1111/ced.14115,high,The emerging importance of tranexamic acid in dermatology,W2982548209,09f382ab1703e29185d2461893e51ad2da655c95,44,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ced.14115,OpenAlex+SemanticScholar
vip,VIP (Vasoactive Intestinal Peptide),0,"Hamnett R, et al. Vasoactive intestinal peptide controls the suprachiasmatic circadian clock network via ERK1/2 and DUSP4. Nat Commun. 2019 (circadian master-clock role).",10.1038/s41467-019-08427-3,high,Vasoactive intestinal peptide controls the suprachiasmatic circadian clock network via ERK1/2 and DUSP4 signalling,W2913418165,0334da679e15f9d3dbad71448c080f56abc20660,65,https://www.nature.com/articles/s41467-019-08427-3.pdf,OpenAlex+SemanticScholar
vip,VIP (Vasoactive Intestinal Peptide),1,"Smalley SG, Barrow PA, Foster N. Immunomodulation of innate immune responses by VIP: therapeutic potential in inflammatory disease. Clin Exp Immunol. 2009 (PMID 19604262).",10.1111/j.1365-2249.2009.03956.x,high,Immunomodulation of innate immune responses by vasoactive intestinal peptide (VIP): its therapeutic potential in inflammatory disease,W1998493815,aa5150da1284cbb5e0a8c06f4f3ef700d77d035c,69,https://www.ncbi.nlm.nih.gov/pmc/articles/2730848,OpenAlex+SemanticScholar
vip,VIP (Vasoactive Intestinal Peptide),2,"Shoemaker RC, et al. VIP corrects chronic inflammatory response syndrome (CIRS) acquired following exposure to water-damaged buildings. Health. 2013 (open-label, 20 patients) — the primary CIRS reference; plus RNA-Seq (Med Res Arch 2016) and grey-matter-volume (Internal Medicine Review 2017). ⚠ Predominantly single-investigator, open-label, unreplicated.",10.4236/health.2013.53053,high,Vasoactive intestinal polypeptide (VIP) corrects chronic inflammatory response syndrome (CIRS) acquired following exposure to water-damaged buildings,W2109723822,,15,http://www.scirp.org/journal/PaperDownload.aspx?paperID=28586,OpenAlex
vitamin-c,Vitamin C (L-Ascorbic Acid),0,"Humbert PG, Haftek M, Creidi P, et al. Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double-blind study vs. placebo. Exp Dermatol. 2003; 12(3):237-244.",10.1034/j.1600-0625.2003.00008.x,high,"Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double‐blind study vs. placebo",W2112185934,2866a21b9555b5c3ac596bd98f36559e8ef35ed7,249,https://orbi.uliege.be/handle/2268/39190,OpenAlex+SemanticScholar
vitamin-c,Vitamin C (L-Ascorbic Acid),1,Traikovich SS. Use of topical ascorbic acid and its effects on photodamaged skin topography. Arch Otolaryngol Head Neck Surg. 1999; 125(10):1091-1098.,10.1001/archotol.125.10.1091,high,Use of Topical Ascorbic Acid and Its Effects on Photodamaged Skin Topography,W2108240530,a0170c09ce97a83ce96bd683d53ec4c741d5fe99,166,https://jamanetwork.com/journals/jamaotolaryngology/articlepdf/509859/ooa8437.pdf,OpenAlex+SemanticScholar
vitamin-c,Vitamin C (L-Ascorbic Acid),2,"Fitzpatrick RE, Rostan EF. Double-blind, half-face study comparing topical vitamin C and vehicle for rejuvenation of photodamage. Dermatol Surg. 2002; 28(3):231-236.",10.1046/j.1524-4725.2002.01129.x,high,"Double-Blind, Half-Face Study Comparing Topical Vitamin C and Vehicle for Rejuvenation of Photodamage",W2096804798,,131,,OpenAlex
vitamin-c,Vitamin C (L-Ascorbic Acid),4,"Correia G, Magina S. Efficacy of topical vitamin C in melasma and photoaging: A systematic review. J Cosmet Dermatol. 2023; 22(7):1938-1945. doi:10.1111/jocd.15748.",10.1111/jocd.15748,high,Efficacy of topical vitamin C in melasma and photoaging: A systematic review,W4367669234,f82ae0f88530ebd045f027bbb6a760b2f5129eb5,46,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jocd.15748,OpenAlex+SemanticScholar
vitamin-c,Vitamin C (L-Ascorbic Acid),6,"Systematic review of Vitamin C derivatives: Topical Vitamin C and Its Derivatives in Cosmetic Science: Stability, Efficacy, and Formulation Strategies. J Skin Sci Cosmetol. 2025.",10.5812/jssc-163798,high,"Topical Vitamin C and Its Derivatives in Cosmetic Science: Stability, Efficacy, and Formulation Strategies",W7118565526,,0,https://brieflands.com/journals/jssc/articles/163798.pdf,OpenAlex
vitamin-c,Vitamin C (L-Ascorbic Acid),7,"Ismail T, Elsayed I, et al. Magnesium ascorbyl phosphate vesicular carriers for topical delivery; preparation, in-vitro and ex-vivo evaluation, factorial optimization and clinical assessment in melasma patients. Int J Nanomedicine. 2022 (PMC9040897).",10.1080/10717544.2022.2036872,high,"Magnesium ascorbyl phosphate vesicular carriers for topical delivery; preparation, in-vitro and ex-vivo evaluation, factorial optimization and clinical assessment in melasma patients",W4212912282,,32,https://www.tandfonline.com/doi/pdf/10.1080/10717544.2022.2036872?needAccess=true,OpenAlex
vitamin-c,Vitamin C (L-Ascorbic Acid),8,"Reilly DM, Lozano J. Skin collagen through the lifestages: importance for skin health and beauty (l-ascorbic acid as collagen cofactor review). Plast Aesthet Res. 2021.",10.20517/2347-9264.2020.153,high,Skin collagen through the lifestages: importance for skin health and beauty,W3119819287,8484e700f8e84dd0ad0ccdd08f633cdbed8e4efb,236,https://parjournal.net/article/download/3863,OpenAlex+SemanticScholar
